task,test_loss,test_accuracy,test_roc_auc,test_runtime,test_samples_per_second,test_steps_per_second,instance_count
international_phonetic_alphabet_nli,1.098622798919677,0.32,0.472666666666666,1.046,23.9,23.9,25.0
irony_identification,0.6930934190750121,0.7000000000000001,0.392857142857142,0.6982,28.643,28.643,20.0
key_value_maps,0.6931517124176021,0.5,0.5416666666666661,0.6967,28.707,28.707,20.0
known_unknowns,0.6932436823844911,0.555555555555555,0.449999999999999,0.3216,27.988,27.988,9.0
language_identification,2.397866487503051,0.08292682926829201,0.5329626708576071,21.8277,9.392,9.392,205.0
logical_args,1.609358310699463,0.0,,0.3529,17.002,17.002,6.0
logical_fallacy_detection,0.6931603550910951,0.44878048780487806,0.552375913813004,6.9289000000000005,29.586,29.586,205.0
mathematical_induction,0.693155586719512,0.5,0.408163265306122,0.592,23.649,23.649,14.0
metaphor_boolean,0.6931466460227961,0.522058823529411,0.582922824302134,4.6245,29.409,29.409,136.0
metaphor_understanding,1.386326074600219,0.234042553191489,,2.3385,20.098,20.098,47.0
misconceptions,0.693156659603118,0.477272727272727,0.47544642857142805,1.502,29.294,29.294,44.0
misconceptions_russian,0.693594574928283,0.30000000000000004,,0.3477,28.756,28.756,10.0
mnist_ascii,2.302576541900634,0.12195121951219501,0.503139170646533,20.0128,10.243,10.243,205.0
moral_permissibility,0.6931431889533991,0.558823529411764,0.5475778546712801,2.3205,29.304,29.304,68.0
movie_dialog_same_or_different,0.6931464672088621,0.5121951219512191,0.544263388603011,6.9657,29.43,29.43,205.0
movie_recommendation,1.386334180831909,0.12,0.43416782304453505,4.9844,20.063,20.063,100.0
multiemo,1.3863109350204461,0.19191919191919102,0.5559583228247,9.8826,20.035,20.035,198.0
navigate,0.6931628584861751,0.435,0.527108127352253,6.7935,29.44,29.44,200.0
persian_idioms,1.386555552482605,0.0,0.18974358974358901,0.6641,19.576,19.576,13.0
phrase_relatedness,1.386232376098632,0.4,0.600896897220426,1.0172,19.661,19.661,20.0
play_dialog_same_or_different,0.6931523084640501,0.37073170731707306,0.56595543409712,6.9967,29.3,29.3,205.0
presuppositions_as_nli,1.098636627197265,0.23809523809523803,0.48537549554688003,6.0498,24.298,24.298,147.0
riddle_sense,1.6093800067901611,0.2,0.582738095238095,0.5929,16.866,16.866,10.0
salient_translation_error_detection,1.7917494773864742,0.165,0.500153604371627,13.0844,15.285,15.285,200.0
sentence_ambiguity,0.6932051777839661,0.416666666666666,0.457142857142857,0.4208,28.517,28.517,12.0
simple_ethical_questions,1.386342048645019,0.17391304347826,,1.1529,19.95,19.95,23.0
snarks,0.6931026577949521,0.555555555555555,0.600619195046439,1.2427,28.969,28.969,36.0
social_support,1.098593473434448,0.374301675977653,0.497093473386074,7.3557,24.335,24.335,179.0
sports_understanding,0.693145453929901,0.48730964467005006,0.571936881188118,6.6581,29.588,29.588,197.0
suicide_risk,1.3863358497619631,0.0,,0.4055,19.731,19.731,8.0
swahili_english_proverbs,1.386496186256408,0.16129032258064502,,1.5482,20.023,20.023,31.0
swedish_to_german_proverbs,1.386287569999694,0.35714285714285704,0.557611832611832,0.7155,19.568,19.568,14.0
symbol_interpretation,1.609430789947509,0.20707070707070702,0.525466147460469,11.373,17.41,17.41,198.0
temporal_sequences,1.386249661445617,0.395,,9.9391,20.123,20.123,200.0
timedial,1.09861421585083,0.321951219512195,,8.4659,24.215,24.215,205.0
understanding_fables,1.609469413757324,0.157894736842105,0.448804685222342,2.2117,17.182,17.182,38.0
unit_interpretation,1.609520316123962,0.05,0.35105737807943604,1.1772,16.989,16.989,20.0
vitaminc_fact_verification,1.098613739013671,0.424390243902439,0.49307479109252406,8.4323,24.311,24.311,205.0
what_is_the_tao,0.693140029907226,0.7142857142857141,0.833333333333333,0.2565,27.286,27.286,7.0
which_wiki_edit,1.3863632678985591,0.210526315789473,,5.7049,19.983,19.983,114.0
winowhy,0.693158864974975,0.46341463414634104,0.565885167464114,6.9707,29.409,29.409,205.0
