task,test_loss,test_accuracy,test_roc_auc,test_runtime,test_samples_per_second,test_steps_per_second,instance_count
anachronisms,0.6931628584861751,0.43478260869565205,0.64326923076923,1.5942,28.854,28.854,46.0
analogical_similarity,1.945891141891479,0.12307692307692301,0.5,4.7885,13.574,13.574,65.0
analytic_entailment,0.6930654644966121,0.642857142857142,0.46666666666666606,0.4877,28.704,28.704,14.0
authorship_verification,0.693136394023895,0.52840909090909,0.525791855203619,6.0348,29.164,29.164,176.0
bbq_lite_json,1.0986522436141961,0.326732673267326,0.437703563441573,8.3264,24.26,24.26,202.0
causal_judgment,0.693136751651763,0.5789473684210521,0.484375,1.3067,29.08,29.08,38.0
cause_and_effect,0.6930103302001951,0.5483870967741931,,1.0545,29.398,29.398,31.0
cifar10_classification,2.3025894165039062,0.073170731707317,0.46720587128779906,20.1653,10.166,10.166,205.0
common_morpheme,1.386183142662048,0.4,0.684126984126984,0.5151,19.413,19.413,10.0
conceptual_combinations,1.386382460594177,0.23809523809523803,,1.0536,19.932,19.932,21.0
crash_blossom,1.386324882507324,0.125,,0.4112,19.455,19.455,8.0
crass_ai,1.386388421058654,0.22222222222222202,0.47129629629629605,0.47190000000000004,19.071,19.071,9.0
cryobiology_spanish,0.693128764629364,0.551724137931034,,0.9922000000000001,29.228,29.228,29.0
dark_humor_detection,0.693180859088897,0.4375,0.555555555555555,0.5562,28.766,28.766,16.0
discourse_marker_prediction,2.302570819854736,0.11111111111111101,0.531245288648981,16.6648,10.261,10.261,171.0
emojis_emotion_prediction,2.079483032226562,0.0,,0.1731,11.557,11.557,2.0
empirical_judgments,1.098606944084167,0.4,0.670727709790209,0.8424,23.742,23.742,20.0
english_russian_proverbs,1.3862137794494631,0.5,0.5922619047619041,0.8184,19.549,19.549,16.0
entailed_polarity,0.693109393119812,0.5666666666666661,,1.0186,29.453,29.453,30.0
entailed_polarity_hindi,0.693130671977996,0.7142857142857141,0.6615384615384611,0.9618000000000001,29.113,29.113,28.0
epistemic_reasoning,0.693205773830413,0.38536585365853604,0.44119747042023605,6.9831,29.356,29.356,205.0
evaluating_information_essentiality,1.6094034910202022,0.14285714285714202,0.5637862137862131,0.8296,16.876,16.876,14.0
fact_checker,0.693155586719512,0.47272727272727205,0.526967285587975,5.5963,29.484,29.484,165.0
fantasy_reasoning,0.6931541562080381,0.47500000000000003,0.515151515151515,1.3762,29.066,29.066,40.0
figure_of_speech_detection,2.3024485111236572,0.08333333333333301,,1.1661,10.29,10.29,12.0
formal_fallacies_syllogisms_negation,0.6931468844413751,0.5121951219512191,0.475380952380952,6.9519,29.488,29.488,205.0
hhh_alignment,0.692460000514984,0.704545454545454,,1.4975,29.382,29.382,44.0
hinglish_toxicity,0.693164706230163,0.375,0.22556390977443602,1.3827,28.929,28.929,40.0
human_organs_senses,1.386483430862426,0.0,,0.4043,19.79,19.79,8.0
hyperbaton,0.6931100487709041,0.521951219512195,0.639567041769979,6.9288,29.587,29.587,205.0
implicatures,0.693140089511871,0.5102040816326531,0.641509433962264,3.3329,29.404,29.404,98.0
implicit_relations,3.218870878219604,0.0,,3.7243,4.565,4.565,17.0
intent_recognition,1.9458763599395752,0.223021582733812,0.5778689050938141,10.0616,13.815,13.815,139.0
