task,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_task_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,instance_count,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy
abstract_narrative_understanding,0.60309875011444,0.6682926829268291,0.529411764705882,0.130434782608695,0.20930232558139503,0.6424765558397271,0.20988965177653102,0.009678892061279,0.023084897631564003,0.22329565734681703,0.5358056265984651,0.336585365853658,3.7571,54.563,6.92,205.0,0.663414634146341,0.0,0.0,0.0,0.5,0.22329565734681703,0.0,0.0,0.22329565734681703,0.5,0.45365853658536504,0.372781065088757,0.9130434782608691,0.529411764705882,0.700873827791986,0.3883044803042,0.20252210064966,0.037513277692277004,0.22329565734681703,0.566815856777493,0.663414634146341,0.0,0.0,0.0,0.576300085251491,0.32735686657720303,0.125523390106549,0.021462180876162,0.22329565734681703,0.5
analogical_similarity,0.5432364344596861,0.769230769230769,0.0,0.0,0.0,0.46666666666666606,0.17851866671844802,0.001003873819039,2.775557561562891e-17,0.17751479289940802,0.5,0.23076923076923,1.3716,47.389,6.562,65.0,0.769230769230769,0.0,0.0,0.0,0.5,0.17751479289940802,0.0,0.0,0.17751479289940802,0.5,0.384615384615384,0.25490196078431304,0.866666666666666,0.39393939393939303,0.5546666666666661,0.40385340736290004,0.24147203394704403,0.015133419483552001,0.17751479289940802,0.553333333333333,0.769230769230769,0.0,0.0,0.0,0.49066666666666603,0.22816921927011102,0.069479760580652,0.018825334209949002,0.17751479289940802,0.5
auto_categorization,0.17342591285705503,0.9393939393939391,0.0,0.0,0.0,0.8991935483870961,0.05068505788074001,0.008807953503636001,0.01505586164677,0.05693296602387501,0.5,0.060606060606060004,1.2887,51.215,6.984,66.0,0.9393939393939391,0.0,0.0,0.0,0.5,0.05693296602387501,0.0,0.0,0.05693296602387501,0.5,0.07575757575757501,0.06153846153846101,1.0,0.11594202898550701,0.6129032258064511,0.8854450299822391,0.829500974038183,0.0009889100798190001,0.05693296602387501,0.508064516129032,0.9393939393939391,0.0,0.0,0.0,0.979838709677419,0.050122007164579006,0.029919986962558,0.036730945821854,0.05693296602387501,0.5
cause_and_effect,0.6910436153411861,0.5161290322580641,0.0,0.0,0.0,0.583333333333333,0.24894828862988502,0.067496675726659,0.068288241415192,0.24973985431841803,0.5,0.48387096774193505,0.685,45.255,5.839,31.0,0.5161290322580641,0.0,0.0,0.0,0.5,0.24973985431841803,0.0,0.0,0.24973985431841803,0.5,0.48387096774193505,0.48387096774193505,1.0,0.652173913043478,0.55,0.371035859024333,0.15961112784153703,0.038315123135622006,0.24973985431841803,0.5,0.5161290322580641,0.0,0.0,0.0,0.4,0.38831942384230306,0.154064431522795,0.015484861998909001,0.24973985431841803,0.5
chess_state_tracking,0.6638051867485041,0.6029411764705881,0.583333333333333,0.51578947368421,0.547486033519553,0.633703524867213,0.23568973882208502,0.01322341783762,0.026356247258518,0.24882256824298302,0.597344278126509,0.46568627450980304,3.8105,53.537,6.823,204.0,0.5343137254901961,0.0,0.0,0.0,0.5,0.24882256824298302,0.0,0.0,0.24882256824298302,0.5,0.436274509803921,0.37179487179487103,0.305263157894736,0.335260115606936,0.34534041525832904,0.340993827022922,0.09217125877993801,0.0,0.24882256824298302,0.42786093674553305,0.5343137254901961,0.0,0.0,0.0,0.580878802510864,0.46566305363445604,0.23042708383804103,0.013586598446568001,0.24882256824298302,0.5
common_morpheme,0.6412089467048641,0.7000000000000001,0.0,0.0,0.0,0.38095238095238004,0.22422946974861901,0.036729469748619,0.022499999999999003,0.20999999999999902,0.5,0.30000000000000004,0.2403,41.606,8.321,10.0,0.7000000000000001,0.0,0.0,0.0,0.5,0.20999999999999902,0.0,0.0,0.20999999999999902,0.5,0.4,0.33333333333333304,1.0,0.5,0.23809523809523803,0.514068641974701,0.314068641974701,0.009999999999999001,0.20999999999999902,0.5714285714285711,0.7000000000000001,0.0,0.0,0.0,0.5238095238095231,0.29597114540962505,0.112637812076292,0.026666666666666002,0.20999999999999902,0.5
conceptual_combinations,0.7161394357681271,0.42857142857142805,0.0,0.0,0.0,0.5,0.261438577157925,0.058263973983321005,0.041723356009069006,0.24489795918367302,0.5,0.5714285714285711,0.4282,49.043,7.006,21.0,0.5714285714285711,0.5714285714285711,1.0,0.7272727272727271,0.5,0.24489795918367302,0.0,0.0,0.24489795918367302,0.5,0.5714285714285711,0.6153846153846151,0.6666666666666661,0.64,0.6296296296296291,0.23369680255541503,0.038685464686935005,0.049886621315192003,0.24489795918367302,0.555555555555555,0.42857142857142805,0.0,0.0,0.0,0.388888888888888,0.475029359456252,0.232965867392759,0.0028344671201810004,0.24489795918367302,0.5
crash_blossom,0.6945812702178951,0.125,0.125,1.0,0.22222222222222202,0.7142857142857141,0.250717040086323,0.16738370675299002,0.026041666666666,0.109375,0.5,0.125,0.189,42.336,5.292,8.0,0.875,0.0,0.0,0.0,0.5,0.109375,0.0,0.0,0.109375,0.5,1.0,1.0,1.0,1.0,1.0,0.17548575107973202,0.17548575107973202,0.109375,0.109375,1.0,0.875,0.0,0.0,0.0,1.0,0.095444511770068,0.095444511770068,0.109375,0.109375,0.5
cryobiology_spanish,0.579128980636596,0.689655172413793,0.689655172413793,1.0,0.816326530612244,0.7555555555555551,0.19665651387434702,0.050888488795977,0.068262890498324,0.21403091557669401,0.5,0.689655172413793,0.5791000000000001,50.08,6.908,29.0,0.689655172413793,0.689655172413793,1.0,0.816326530612244,0.5,0.21403091557669401,0.0,0.0,0.21403091557669401,0.5,0.689655172413793,0.689655172413793,1.0,0.816326530612244,0.39444444444444404,0.289456320601077,0.084351081013079,0.008925675988696001,0.21403091557669401,0.5,0.344827586206896,1.0,0.05,0.09523809523809501,0.672222222222222,0.55618050944442,0.40028970484671805,0.058140110978993007,0.21403091557669401,0.525
cs_algorithms,0.08224285393953301,0.9698795180722891,0.983050847457627,0.9354838709677411,0.958677685950413,0.9948821339950371,0.022983640864882002,0.005112155070717,0.21612474007315902,0.23399622586732402,0.962934243176178,0.37349397590361405,3.0489,54.446,6.888,166.0,0.626506024096385,0.0,0.0,0.0,0.5,0.23399622586732402,0.0,0.0,0.23399622586732402,0.5,0.638554216867469,0.508771929824561,0.9354838709677411,0.6590909090909091,0.788306451612903,0.253938977847373,0.09597084156598401,0.076028089585935,0.23399622586732402,0.6985111662531011,0.626506024096385,0.0,0.0,0.0,0.385700992555831,0.35706598250487903,0.13591823361458102,0.012848476977026001,0.23399622586732402,0.5
