,test_loss,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,count
_total,0.5197134017944336,0.6990506037422803,0.5730905412240769,0.3187957231288689,0.4096908334839993,0.7206443000443947,0.19126812828373863,0.0,0.02900590366613745,0.22027403194987608,0.6015500205774571,0.6718591575260393,0.0,0.0,0.0,0.48515013443810046,0.3147285346813898,0.0952043603607827,0.0007498576292689907,0.22027403194987608,0.4995887594242632,0.5386671582634344,0.3990538472241547,0.806978052898143,0.5340284889675078,0.6284988716147961,0.30188621026333945,0.09439874222399383,0.012786563910530457,0.22027403194987608,0.6074643520145273,0.7357360125357176,0.6473616473616474,0.42459200900393923,0.5128292268479185,0.7672048176320457,0.1752457514381339,0.0017673560045516623,0.04679563651629384,0.22027403194987608,0.6559560456260272,84.2762,128.732,16.102,10849
abstract_narrative_understanding,0.7906551957130432,0.6634146341463415,0.0,0.0,0.0,0.5,0.22329565734681733,0.0,0.0,0.22329565734681733,0.5,0.6634146341463415,0.0,0.0,0.0,0.5763000852514919,0.3273568665772037,0.12552339010654923,0.021462180876162862,0.22329565734681733,0.5,0.45365853658536587,0.3727810650887574,0.9130434782608695,0.5294117647058824,0.7008738277919863,0.3883044803042009,0.20252210064966072,0.037513277692277164,0.22329565734681733,0.5668158567774936,0.6634146341463415,0.0,0.0,0.0,0.5087382779198636,0.26845092633130746,0.04965453184562346,0.004499262861133335,0.22329565734681733,0.5,1.552,132.09,16.753,205
anachronisms,0.718310534954071,0.5434782608695652,0.0,0.0,0.0,0.5,0.24810964083175802,0.0,0.0,0.24810964083175802,0.5,0.5434782608695652,0.0,0.0,0.0,0.6171428571428571,0.4271471051389192,0.2152552831927494,0.03621781888558823,0.24810964083175802,0.5,0.45652173913043476,0.45652173913043476,1.0,0.626865671641791,0.49142857142857144,0.4107323636400896,0.19391314167212617,0.031290418863794606,0.24810964083175802,0.5,0.45652173913043476,0.4411764705882353,0.7142857142857143,0.5454545454545455,0.44190476190476186,0.2624442138385557,0.015161605142903545,0.0008270321361058541,0.24810964083175802,0.47714285714285715,0.376,122.348,15.958,46
analogical_similarity,0.6618018746376038,0.7230769230769231,0.0,0.0,0.0,0.5,0.20023668639053252,0.0,0.0,0.20023668639053252,0.5,0.7230769230769231,0.0,0.0,0.0,0.5768321513002365,0.2732990463362617,0.09503192883837497,0.021969568892645813,0.20023668639053252,0.5,0.47692307692307695,0.3333333333333333,0.8888888888888888,0.48484848484848486,0.6430260047281324,0.3413811596193233,0.1614534804608749,0.02030900723208412,0.20023668639053252,0.6040189125295508,0.7230769230769231,0.0,0.0,0.0,0.5,0.22093686623762873,0.020700179847096017,-1.942890293094024e-16,0.20023668639053252,0.5,0.5243,123.983,17.167,65
analytic_entailment,0.6030316948890686,0.6428571428571429,0.0,0.0,0.0,0.5,0.2295918367346938,0.0,0.0,0.2295918367346938,0.5,0.6428571428571429,0.0,0.0,0.0,0.4,0.340333005012738,0.11176157644130938,0.0010204081632651796,0.2295918367346938,0.5,0.35714285714285715,0.35714285714285715,1.0,0.5263157894736842,0.5333333333333334,0.6427097710105826,0.44543085944595673,0.032312925170067924,0.2295918367346938,0.5,0.7857142857142857,1.0,0.4,0.5714285714285715,0.6222222222222222,0.2035773952758943,0.04796515037793503,0.07397959183673453,0.2295918367346938,0.7,0.1424,98.293,14.042,14
arithmetic,0.5974975824356079,0.8232323232323232,0.0,0.0,0.0,0.5,0.14552086521783492,0.0,0.0,0.14552086521783492,0.5,0.8232323232323232,0.0,0.0,0.0,0.6652059596844873,0.1500293659520194,0.018900458178617935,0.014391957444433445,0.14552086521783492,0.5,0.7777777777777778,0.3333333333333333,0.2571428571428571,0.2903225806451613,0.6646801051709027,0.17800550720609212,0.04600867924309629,0.013524037254839083,0.14552086521783492,0.5733567046450482,0.7727272727272727,0.2222222222222222,0.11428571428571428,0.1509433962264151,0.5691498685363715,0.20272901732241452,0.06218435744142073,0.004976205336841122,0.14552086521783492,0.5141980718667836,1.4698,134.716,17.01,198
authorship_verification,0.6865411400794983,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.24987086776859507,0.0,0.0,0.24987086776859507,0.5,0.48863636363636365,0.0,0.0,0.0,0.5,0.5113636363636364,0.2614927685950413,0.0,0.24987086776859507,0.5,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.48863636363636365,0.23876549586776857,0.0,0.24987086776859507,0.5,0.5113636363636364,0.7,0.07777777777777778,0.14,0.6592377260981912,0.24702914095032266,0.029468411532886485,0.032310138351158896,0.24987086776859507,0.5214470284237727,1.3893,126.685,15.836,176
bbq_lite_json,0.4834144413471222,0.7524752475247525,0.0,0.0,0.0,0.5,0.18625624938731497,0.0,0.0,0.18625624938731497,0.5,0.6237623762376238,0.26785714285714285,0.3,0.2830188679245283,0.5142105263157895,0.2366216466150098,0.05272090615486341,0.0023555089271685703,0.18625624938731497,0.5151315789473684,0.24257425742574257,0.24120603015075376,0.96,0.38554216867469876,0.5573684210526315,0.41093606625201395,0.23118910437287976,0.006509287508180778,0.18625624938731497,0.4832894736842105,0.7574257425742574,1.0,0.02,0.0392156862745098,0.7849999999999999,0.1609936426535619,0.018681572020287168,0.04394417875404025,0.18625624938731497,0.51,1.5168,133.175,17.141,202
causal_judgment,0.6953377723693848,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.5,0.24930747922437677,0.0,0.0,0.24930747922437677,0.5,0.47368421052631576,0.0,0.0,0.0,0.5277777777777778,0.28306564886162794,0.06569722780899631,0.03193905817174514,0.24930747922437677,0.5,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.6944444444444444,0.2438538436980876,0.06421243247772901,0.06966606800401817,0.24930747922437677,0.5,0.5,0.5714285714285714,0.2,0.29629629629629634,0.47916666666666663,0.25144382457165004,0.035904977453855014,0.033768632106581736,0.24930747922437677,0.5166666666666667,0.3256,116.723,15.358,38
cause_and_effect,0.5846906304359436,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.5,0.24765868886576475,0.0,0.0,0.24765868886576475,0.5,0.41935483870967744,0.0,0.0,0.0,0.21428571428571427,0.5362551582331515,0.28859646936738675,0.0,0.24765868886576475,0.4642857142857143,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.773109243697479,0.3046221194834958,0.15799455350109115,0.10103112288336008,0.24765868886576475,0.5,0.7741935483870968,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.7794117647058824,0.19690848889897725,0.0442971217714786,0.0950473217382661,0.24765868886576475,0.7878151260504203,0.2695,115.031,14.843,31
