task,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_task_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,instance_count,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy
abstract_narrative_understanding,0.727732896804809,0.6000000000000001,0.42857142857142805,0.075,0.127659574468085,0.6102500000000001,0.252953716067645,0.03191010926794,0.016909992248480003,0.23795359904818503,0.5055000000000001,0.390243902439024,3.5111,58.386,3.7030000000000003,205.0,0.609756097560975,0.0,0.0,0.0,0.5,0.23795359904818503,0.0,0.0,0.23795359904818503,0.5,0.48780487804878003,0.430167597765363,0.9625,0.5945945945945941,0.7529,0.37535172974109804,0.19897767420672602,0.06157954351381201,0.23795359904818503,0.57325,0.609756097560975,0.5,0.0125,0.024390243902439,0.5118,0.37717104390451606,0.15151298728658502,0.012295542430254,0.23795359904818503,0.5022500000000001
analogical_similarity,0.43033382296562106,0.846153846153846,0.0,0.0,0.0,0.55,0.130425627746032,0.000248112953132,-2.775557561562891e-17,0.13017751479289902,0.5,0.15384615384615302,1.1943,54.426,4.187,65.0,0.846153846153846,0.0,0.0,0.0,0.5,0.13017751479289902,0.0,0.0,0.13017751479289902,0.5,0.4,0.19148936170212702,0.9,0.31578947368421,0.5527272727272721,0.40667430630941503,0.286511136146245,0.010014344629729001,0.13017751479289902,0.604545454545454,0.846153846153846,0.0,0.0,0.0,0.43090909090909,0.15244898022314102,0.036091774210762005,0.013820308780520001,0.13017751479289902,0.5
auto_categorization,0.26317301392555204,0.893939393939393,0.0,0.0,0.0,0.763934426229508,0.071156578596197,0.011531758971377001,0.010393545848091,0.07001836547291,0.48360655737704905,0.07575757575757501,1.1761,56.117,4.251,66.0,0.9242424242424241,0.0,0.0,0.0,0.5,0.07001836547291,0.0,0.0,0.07001836547291,0.5,0.13636363636363602,0.08064516129032201,1.0,0.149253731343283,0.586885245901639,0.7979176706016321,0.7293070359532621,0.0014077308245400001,0.07001836547291,0.532786885245901,0.9242424242424241,0.0,0.0,0.0,0.9639344262295081,0.063729311299176,0.035951533521398,0.042240587695133,0.07001836547291,0.5
cause_and_effect,0.543836534023284,0.6774193548387091,0.74074074074074,0.8695652173913041,0.799999999999999,0.7228260869565211,0.184058367219743,0.037821808079958004,0.045230662504335,0.19146722164412003,0.49728260869565205,0.7419354838709671,0.5646,54.906,3.542,31.0,0.7419354838709671,0.7419354838709671,1.0,0.8518518518518511,0.5,0.19146722164412003,0.0,0.0,0.19146722164412003,0.5,0.7419354838709671,0.7419354838709671,1.0,0.8518518518518511,0.690217391304347,0.19449034563380602,0.049860781649403,0.046837657659718,0.19146722164412003,0.5,0.25806451612903203,0.0,0.0,0.0,0.375,0.589341546955051,0.39848133190128804,0.000607006590357,0.19146722164412003,0.5
chess_state_tracking,0.6787033081054681,0.5343137254901961,0.0,0.0,0.0,0.6242394978271361,0.24300124794117303,0.016036450617546,0.021857770919356003,0.24882256824298302,0.5,0.46568627450980304,3.5097,58.125,3.7039999999999997,204.0,0.5343137254901961,0.0,0.0,0.0,0.5,0.24882256824298302,0.0,0.0,0.24882256824298302,0.5,0.44607843137254904,0.381578947368421,0.305263157894736,0.33918128654970703,0.380444229840656,0.324302135567589,0.075593512333349,0.00011394500874300001,0.24882256824298302,0.43703524867213905,0.5343137254901961,0.0,0.0,0.0,0.631772090777402,0.465654516286479,0.245561976065262,0.028730028021766003,0.24882256824298302,0.5
common_morpheme,0.635169982910156,0.7000000000000001,0.5,0.33333333333333304,0.4,0.47619047619047605,0.22219457211336202,0.072194572113362,0.059999999999999006,0.20999999999999902,0.595238095238095,0.30000000000000004,0.2172,46.034,4.603,10.0,0.7000000000000001,0.0,0.0,0.0,0.5,0.20999999999999902,0.0,0.0,0.20999999999999902,0.5,0.30000000000000004,0.30000000000000004,1.0,0.461538461538461,0.5714285714285711,0.45716127082734603,0.28716127082734605,0.039999999999999,0.20999999999999902,0.5,0.7000000000000001,0.0,0.0,0.0,0.0,0.299790360697059,0.08979036069705901,0.0,0.20999999999999902,0.5
conceptual_combinations,0.517680525779724,0.7142857142857141,0.0,0.0,0.0,0.866666666666666,0.17141287534475302,0.072206526138404,0.10487528344671201,0.204081632653061,0.5,0.28571428571428503,0.4163,50.448,4.805,21.0,0.7142857142857141,0.0,0.0,0.0,0.5,0.204081632653061,0.0,0.0,0.204081632653061,0.5,0.7619047619047611,0.555555555555555,0.833333333333333,0.6666666666666661,0.8888888888888881,0.20608572783471502,0.112434934183921,0.11043083900226701,0.204081632653061,0.7833333333333331,0.7142857142857141,0.0,0.0,0.0,0.9,0.18051204080136202,0.137654897944219,0.16122448979591802,0.204081632653061,0.5
crash_blossom,0.977204978466033,0.125,0.125,1.0,0.22222222222222202,0.28571428571428503,0.38425820865853305,0.28009154199186603,0.005208333333333,0.109375,0.5,0.125,0.1922,41.631,5.204,8.0,0.875,0.0,0.0,0.0,0.5,0.109375,0.0,0.0,0.109375,0.5,0.75,0.0,0.0,0.0,0.42857142857142805,0.180871224552505,0.080871224552505,0.009374999999999,0.109375,0.42857142857142805,0.875,0.0,0.0,0.0,0.14285714285714202,0.114881631623823,0.007738774480965001,0.002232142857142,0.109375,0.5
cryobiology_spanish,0.6989759802818291,0.620689655172413,0.611111111111111,0.7333333333333331,0.6666666666666661,0.6047619047619041,0.251895340022455,0.046689119603252005,0.044496514420274004,0.24970273483947603,0.616666666666666,0.5172413793103441,0.535,54.209,3.739,29.0,0.5172413793103441,0.5172413793103441,1.0,0.6818181818181811,0.5,0.24970273483947603,0.0,0.0,0.24970273483947603,0.5,0.5172413793103441,0.5172413793103441,1.0,0.6818181818181811,0.39523809523809506,0.384194064492727,0.13689347236454802,0.002402142711298,0.24970273483947603,0.5,0.5172413793103441,1.0,0.066666666666666,0.125,0.638095238095238,0.397429602291194,0.197638588707076,0.049911721255359004,0.24970273483947603,0.533333333333333
cs_algorithms,0.273865699768066,0.94578313253012,0.9130434782608691,0.893617021276595,0.9032258064516121,0.9347398533881631,0.06589146168003,0.026615114968316003,0.163692153796342,0.202968500508056,0.9300017879492221,0.283132530120481,2.8841,57.558,3.814,166.0,0.7168674698795181,0.0,0.0,0.0,0.5,0.202968500508056,0.0,0.0,0.202968500508056,0.5,0.6144578313253011,0.41904761904761906,0.936170212765957,0.5789473684210521,0.8444484176649381,0.259845021206411,0.13579305888140802,0.07891653818305301,0.202968500508056,0.7117825853745751,0.7168674698795181,0.0,0.0,0.0,0.42642588950473803,0.275677743759916,0.08300790473997001,0.010298661488111,0.202968500508056,0.5
