,test_loss,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,count
_total,0.5879608392715454,0.6769714920399852,0.5837813620071685,0.33721532091097306,0.4274934383202099,0.7072748484495915,0.2016519927528401,0.0,0.02808315134684683,0.22973514409968693,0.6016768247206162,0.6397630507219548,0.49640841457157514,0.5007763975155279,0.4985828394743622,0.6213073385600325,0.2641154830957881,0.046763636102917006,0.01238329710681585,0.22973514409968693,0.6089616857894642,0.514809329877823,0.4137887887887888,0.8558488612836439,0.5578609986504723,0.6061205444776582,0.32716960466626493,0.10820504480864598,0.010770584242067976,0.22973514409968693,0.5903884075870669,0.6724361347649019,0.5549172017573505,0.4249482401656315,0.48131320533489674,0.7031325327712842,0.20265990428602484,0.002008061880099915,0.029083301693761998,0.22973514409968693,0.6175893938580319,158.2435,68.275,8.537,10804
abstract_narrative_understanding,0.6573519110679626,0.6634146341463415,0.0,0.0,0.0,0.5,0.22329565734681733,0.0,0.0,0.22329565734681733,0.5,0.6634146341463415,0.0,0.0,0.0,0.5763000852514919,0.3273568665772037,0.12552339010654923,0.021462180876162862,0.22329565734681733,0.5,0.45365853658536587,0.3727810650887574,0.9130434782608695,0.5294117647058824,0.7008738277919863,0.3883044803042009,0.20252210064966072,0.037513277692277164,0.22329565734681733,0.5668158567774936,0.6634146341463415,0.0,0.0,0.0,0.4933930093776641,0.23192366916922733,0.010266123159929696,0.0016381113375197043,0.22329565734681733,0.5,2.8512,71.9,9.119,205
anachronisms,0.7101753950119019,0.5434782608695652,0.0,0.0,0.0,0.5,0.24810964083175802,0.0,0.0,0.24810964083175802,0.5,0.5434782608695652,0.0,0.0,0.0,0.6171428571428571,0.4271471051389192,0.2152552831927494,0.03621781888558823,0.24810964083175802,0.5,0.45652173913043476,0.45652173913043476,1.0,0.626865671641791,0.49142857142857144,0.4107323636400896,0.19391314167212617,0.031290418863794606,0.24810964083175802,0.5,0.45652173913043476,0.45652173913043476,1.0,0.626865671641791,0.5828571428571429,0.2584645228658679,0.03201524750354898,0.021660365469439086,0.24810964083175802,0.5,0.6742,68.231,8.9,46
analogical_similarity,0.6737308502197266,0.7230769230769231,0.0,0.0,0.0,0.5,0.20023668639053252,0.0,0.0,0.20023668639053252,0.5,0.7230769230769231,0.0,0.0,0.0,0.5768321513002365,0.2732990463362617,0.09503192883837497,0.021969568892645813,0.20023668639053252,0.5,0.47692307692307695,0.3333333333333333,0.8888888888888888,0.48484848484848486,0.6430260047281324,0.3413811596193233,0.1614534804608749,0.02030900723208412,0.20023668639053252,0.6040189125295508,0.7230769230769231,0.0,0.0,0.0,0.5277777777777778,0.22360777232064213,0.02337108593010942,-1.942890293094024e-16,0.20023668639053252,0.5,0.9491,68.482,9.482,65
analytic_entailment,0.7197556495666504,0.6428571428571429,0.0,0.0,0.0,0.5,0.2295918367346938,0.0,0.0,0.2295918367346938,0.5,0.6428571428571429,0.0,0.0,0.0,0.4,0.340333005012738,0.11176157644130938,0.0010204081632651796,0.2295918367346938,0.5,0.35714285714285715,0.35714285714285715,1.0,0.5263157894736842,0.5333333333333334,0.6427097710105826,0.44543085944595673,0.032312925170067924,0.2295918367346938,0.5,0.35714285714285715,0.35714285714285715,1.0,0.5263157894736842,0.5777777777777778,0.2632700094621604,0.06939245844175221,0.035714285714285615,0.2295918367346938,0.5,0.2166,64.65,9.236,14
arithmetic,0.6805554032325745,0.8232323232323232,0.0,0.0,0.0,0.5,0.14552086521783492,0.0,0.0,0.14552086521783492,0.5,0.8232323232323232,0.0,0.0,0.0,0.6652059596844873,0.1500293659520194,0.018900458178617935,0.014391957444433445,0.14552086521783492,0.5,0.7777777777777778,0.3333333333333333,0.2571428571428571,0.2903225806451613,0.6646801051709027,0.17800550720609212,0.04600867924309629,0.013524037254839083,0.14552086521783492,0.5733567046450482,0.6818181818181818,0.08823529411764706,0.08571428571428572,0.08695652173913045,0.4056091148115688,0.24370565287516338,0.09835091183076713,0.0001661241734386698,0.14552086521783492,0.44776511831726556,2.7331,72.445,9.147,198
authorship_verification,0.6938540935516357,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.24987086776859507,0.0,0.0,0.24987086776859507,0.5,0.48863636363636365,0.0,0.0,0.0,0.5,0.5113636363636364,0.2614927685950413,0.0,0.24987086776859507,0.5,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.48863636363636365,0.23876549586776857,0.0,0.24987086776859507,0.5,0.5113636363636364,0.532258064516129,0.36666666666666664,0.43421052631578944,0.5220284237726098,0.25034611026013653,0.00518512402536872,0.004709881533827259,0.24987086776859507,0.5147286821705426,2.5239,69.732,8.717,176
bbq_lite_json,0.9489490985870361,0.7524752475247525,0.0,0.0,0.0,0.5,0.18625624938731497,0.0,0.0,0.18625624938731497,0.5,0.6237623762376238,0.26785714285714285,0.3,0.2830188679245283,0.5142105263157895,0.2366216466150098,0.05272090615486341,0.0023555089271685703,0.18625624938731497,0.5151315789473684,0.24257425742574257,0.24120603015075376,0.96,0.38554216867469876,0.5573684210526315,0.41093606625201395,0.23118910437287976,0.006509287508180778,0.18625624938731497,0.4832894736842105,0.24752475247524752,0.24752475247524752,1.0,0.3968253968253968,0.18118421052631578,0.37065495218474404,0.1850113878283075,0.0006126850308784404,0.18625624938731497,0.5,2.7971,72.217,9.295,202
causal_judgment,0.681576669216156,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.5,0.24930747922437677,0.0,0.0,0.24930747922437677,0.5,0.47368421052631576,0.0,0.0,0.0,0.5277777777777778,0.28306564886162794,0.06569722780899631,0.03193905817174514,0.24930747922437677,0.5,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.6944444444444444,0.2438538436980876,0.06421243247772901,0.06966606800401817,0.24930747922437677,0.5,0.5789473684210527,0.5666666666666667,0.85,0.68,0.5847222222222223,0.24419410603192276,0.03222478879944721,0.03733816199190121,0.24930747922437677,0.5638888888888889,0.5691,66.767,8.785,38
cause_and_effect,0.6960949897766113,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.5,0.24765868886576475,0.0,0.0,0.24765868886576475,0.5,0.41935483870967744,0.0,0.0,0.0,0.21428571428571427,0.5362551582331515,0.28859646936738675,0.0,0.24765868886576475,0.4642857142857143,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.773109243697479,0.3046221194834958,0.15799455350109115,0.10103112288336008,0.24765868886576475,0.5,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.41386554621848737,0.2513523802930453,0.0369998791242743,0.033306187696993755,0.24765868886576475,0.5,0.449,69.049,8.909,31
