,test_loss,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,count
_total,0.492628812789917,0.7081255771006464,0.5537679932260796,0.1989051094890511,0.2926829268292683,0.7137725210838768,0.18648692858415936,0.0,0.024940546650069978,0.21142747523422933,0.5645148724321416,0.6960295475530932,0.3,0.0009124087591240876,0.0018192844147968466,0.468595492170044,0.2909024955594094,0.07980302997098071,0.00032800964580065317,0.21142747523422933,0.4999921364930598,0.5167128347183749,0.36707650273224046,0.8172141119221411,0.5065987933634993,0.6314662827339648,0.31168670437080376,0.11183313926314856,0.011573910126574133,0.21142747523422933,0.6014604105089358,0.7457063711911357,0.6440129449838188,0.36313868613138683,0.4644107351225204,0.7785507201843238,0.16542271318390514,0.0012773761687437657,0.04728213821906796,0.21142747523422933,0.6378143709097666,159.4789,67.909,8.49,10830
abstract_narrative_understanding,0.9642090797424316,0.6634146341463415,0.0,0.0,0.0,0.5,0.22329565734681733,0.0,0.0,0.22329565734681733,0.5,0.6634146341463415,0.0,0.0,0.0,0.5763000852514919,0.3273568665772037,0.12552339010654923,0.021462180876162862,0.22329565734681733,0.5,0.45365853658536587,0.3727810650887574,0.9130434782608695,0.5294117647058824,0.7008738277919863,0.3883044803042009,0.20252210064966072,0.037513277692277164,0.22329565734681733,0.5668158567774936,0.6634146341463415,0.0,0.0,0.0,0.5502983802216539,0.296828031846017,0.08182380397276845,0.008291429473568757,0.22329565734681733,0.5,2.9276,70.023,8.881,205
anachronisms,0.7501879334449768,0.5434782608695652,0.0,0.0,0.0,0.5,0.24810964083175802,0.0,0.0,0.24810964083175802,0.5,0.5434782608695652,0.0,0.0,0.0,0.6171428571428571,0.4271471051389192,0.2152552831927494,0.03621781888558823,0.24810964083175802,0.5,0.45652173913043476,0.45652173913043476,1.0,0.626865671641791,0.49142857142857144,0.4107323636400896,0.19391314167212617,0.031290418863794606,0.24810964083175802,0.5,0.391304347826087,0.34782608695652173,0.38095238095238093,0.3636363636363636,0.3142857142857143,0.27793023824987845,0.029820597418120293,-1.3877787807814457e-16,0.24810964083175802,0.3904761904761905,0.7144,64.388,8.398,46
analogical_similarity,0.6717419624328613,0.7230769230769231,0.0,0.0,0.0,0.5,0.20023668639053252,0.0,0.0,0.20023668639053252,0.5,0.7230769230769231,0.0,0.0,0.0,0.5768321513002365,0.2732990463362617,0.09503192883837497,0.021969568892645813,0.20023668639053252,0.5,0.47692307692307695,0.3333333333333333,0.8888888888888888,0.48484848484848486,0.6430260047281324,0.3413811596193233,0.1614534804608749,0.02030900723208412,0.20023668639053252,0.6040189125295508,0.7230769230769231,0.0,0.0,0.0,0.5,0.22317338111412474,0.022936694723592027,-1.942890293094024e-16,0.20023668639053252,0.5,0.9982,65.118,9.016,65
analytic_entailment,0.6642525792121887,0.6428571428571429,0.0,0.0,0.0,0.5,0.2295918367346938,0.0,0.0,0.2295918367346938,0.5,0.6428571428571429,0.0,0.0,0.0,0.4,0.340333005012738,0.11176157644130938,0.0010204081632651796,0.2295918367346938,0.5,0.35714285714285715,0.35714285714285715,1.0,0.5263157894736842,0.5333333333333334,0.6427097710105826,0.44543085944595673,0.032312925170067924,0.2295918367346938,0.5,0.6428571428571429,0.5,0.6,0.5454545454545454,0.6444444444444445,0.23674743379647886,0.0819855274380211,0.07482993037623603,0.2295918367346938,0.6333333333333333,0.2358,59.362,8.48,14
arithmetic,0.9903906583786011,0.8232323232323232,0.0,0.0,0.0,0.5,0.14552086521783492,0.0,0.0,0.14552086521783492,0.5,0.8232323232323232,0.0,0.0,0.0,0.6652059596844873,0.1500293659520194,0.018900458178617935,0.014391957444433445,0.14552086521783492,0.5,0.7777777777777778,0.3333333333333333,0.2571428571428571,0.2903225806451613,0.6646801051709027,0.17800550720609212,0.04600867924309629,0.013524037254839083,0.14552086521783492,0.5733567046450482,0.7424242424242424,0.19230769230769232,0.14285714285714285,0.16393442622950818,0.5454864154250658,0.19689502340233203,0.056124427246282055,0.00475026906178494,0.14552086521783492,0.507011393514461,2.7485,72.04,9.096,198
authorship_verification,0.6851773858070374,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.24987086776859507,0.0,0.0,0.24987086776859507,0.5,0.48863636363636365,0.0,0.0,0.0,0.5,0.5113636363636364,0.2614927685950413,0.0,0.24987086776859507,0.5,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.48863636363636365,0.23876549586776857,0.0,0.24987086776859507,0.5,0.4943181818181818,0.6666666666666666,0.022222222222222223,0.043010752688172046,0.6784883720930233,0.246083520878711,0.03278712993578864,0.03657447682567272,0.24987086776859507,0.505297157622739,2.5107,70.101,8.763,176
bbq_lite_json,0.4132608473300934,0.7524752475247525,0.0,0.0,0.0,0.5,0.18625624938731497,0.0,0.0,0.18625624938731497,0.5,0.6237623762376238,0.26785714285714285,0.3,0.2830188679245283,0.5142105263157895,0.2366216466150098,0.05272090615486341,0.0023555089271685703,0.18625624938731497,0.5151315789473684,0.24257425742574257,0.24120603015075376,0.96,0.38554216867469876,0.5573684210526315,0.41093606625201395,0.23118910437287976,0.006509287508180778,0.18625624938731497,0.4832894736842105,0.7722772277227723,0.7,0.14,0.23333333333333336,0.8493421052631579,0.13994915382164688,0.016206170003141132,0.06251326556880922,0.18625624938731497,0.5601315789473684,2.9113,69.384,8.931,202
causal_judgment,0.6986238360404968,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.5,0.24930747922437677,0.0,0.0,0.24930747922437677,0.5,0.47368421052631576,0.0,0.0,0.0,0.5277777777777778,0.28306564886162794,0.06569722780899631,0.03193905817174514,0.24930747922437677,0.5,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.6944444444444444,0.2438538436980876,0.06421243247772901,0.06966606800401817,0.24930747922437677,0.5,0.5263157894736842,0.5454545454545454,0.6,0.5714285714285713,0.49583333333333335,0.25267880644090984,0.013863016967225639,0.010491689750692562,0.24930747922437677,0.5222222222222221,0.5571,68.208,8.975,38
cause_and_effect,0.7458584308624268,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.5,0.24765868886576475,0.0,0.0,0.24765868886576475,0.5,0.41935483870967744,0.0,0.0,0.0,0.21428571428571427,0.5362551582331515,0.28859646936738675,0.0,0.24765868886576475,0.4642857142857143,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.773109243697479,0.3046221194834958,0.15799455350109115,0.10103112288336008,0.24765868886576475,0.5,0.5806451612903226,0.5714285714285714,0.9411764705882353,0.7111111111111111,0.28361344537815125,0.2742981290566636,0.03159459603054934,0.004955155839650477,0.24765868886576475,0.542016806722689,0.4659,66.534,8.585,31
