task,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_task_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,instance_count,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy
abstract_narrative_understanding,0.686952888965606,0.590243902439024,0.44444444444444403,0.048192771084337005,0.08695652173913,0.5282441240371321,0.24634688298560703,0.010961925406044001,0.005566856816629001,0.240951814396192,0.50360458226348,0.40487804878048705,3.4932,58.686,3.722,205.0,0.5951219512195121,0.0,0.0,0.0,0.5,0.240951814396192,0.0,0.0,0.240951814396192,0.5,0.48292682926829206,0.43850267379679103,0.9879518072289151,0.6074074074074071,0.708917637764171,0.40155403806608103,0.20421202809135902,0.043609804421471006,0.240951814396192,0.5636480347619981,0.663414634146341,0.9375,0.180722891566265,0.30303030303030304,0.633122654552636,0.315577926016508,0.110587225659954,0.035961114039638004,0.240951814396192,0.586263085127394
auto_categorization,0.43584644794464106,0.818181818181818,0.5,0.25,0.33333333333333304,0.75,0.13798320621840102,0.023805717040911,0.034582841401023,0.148760330578512,0.5972222222222221,0.18181818181818102,1.1616,56.816,4.304,66.0,0.818181818181818,0.0,0.0,0.0,0.5,0.148760330578512,0.0,0.0,0.148760330578512,0.5,0.19696969696969602,0.18461538461538402,1.0,0.311688311688311,0.648148148148148,0.755632179347913,0.6174503611660951,0.010578512396694,0.148760330578512,0.5092592592592591,0.893939393939393,1.0,0.416666666666666,0.5882352941176471,0.959876543209876,0.08042079230877201,0.038462750350730004,0.10680228862047,0.148760330578512,0.708333333333333
bbq_lite_json,0.6441208720207211,0.7079207920792071,0.7079207920792071,1.0,0.8289855072463761,0.6188218561099911,0.20727824860853603,0.016153299348288002,0.015643994960906002,0.20676894422115402,0.5,0.7079207920792071,3.4363,58.784,3.783,202.0,0.7079207920792071,0.7079207920792071,1.0,0.8289855072463761,0.5,0.20676894422115402,0.0,0.0,0.20676894422115402,0.5,0.7227722772277221,0.727748691099476,0.9720279720279721,0.832335329341317,0.7860613962308871,0.17061769577756,0.022392972586889003,0.058544221030483005,0.20676894422115402,0.5453360199122911,0.7227722772277221,0.7636363636363631,0.881118881118881,0.818181818181818,0.7254948441389111,0.18251856189215002,0.01334190233209,0.037592284661095,0.20676894422115402,0.6100509659831691
cause_and_effect,0.5835418701171871,0.7096774193548381,0.7096774193548381,1.0,0.8301886792452831,0.6868686868686861,0.204140403041999,0.04446298368716,0.04635796045785601,0.206035379812695,0.5,0.7096774193548381,0.5604,55.317,3.569,31.0,0.7096774193548381,0.7096774193548381,1.0,0.8301886792452831,0.5,0.206035379812695,0.0,0.0,0.206035379812695,0.5,0.7096774193548381,0.7096774193548381,1.0,0.8301886792452831,0.6868686868686861,0.21057579451603903,0.042006460624124005,0.037466045920780004,0.206035379812695,0.5,0.35483870967741904,0.55,0.5,0.5238095238095231,0.30303030303030304,0.524446118905974,0.318976273183673,0.000565534090394,0.206035379812695,0.25
chess_state_tracking,0.293695569038391,0.887254901960784,0.0,0.0,0.0,0.80951237088638,0.086303816882645,0.009291703460795001,0.023021527485493003,0.10003364090734301,0.5,0.11274509803921501,3.483,58.57,3.732,204.0,0.887254901960784,0.0,0.0,0.0,0.5,0.10003364090734301,0.0,0.0,0.10003364090734301,0.5,0.519607843137254,0.135922330097087,0.6086956521739131,0.22222222222222202,0.617823684842661,0.312048122623705,0.217462536310178,0.0054480545938150006,0.10003364090734301,0.558491472495796,0.887254901960784,0.0,0.0,0.0,0.560413163583953,0.11273939292296001,0.018361735977829002,0.005655983962212,0.10003364090734301,0.5
codenames,0.47575131058692904,0.8235294117647051,0.0,0.0,0.0,0.547619047619047,0.147687350430763,0.024157942172213002,0.021799311464632,0.145328719723183,0.5,0.17647058823529402,0.3517,48.336,5.687,17.0,0.8235294117647051,0.0,0.0,0.0,0.5,0.145328719723183,0.0,0.0,0.145328719723183,0.5,0.17647058823529402,0.17647058823529402,1.0,0.30000000000000004,0.5,0.8235294117647051,0.678200692041522,0.0,0.145328719723183,0.5,0.8235294117647051,0.0,0.0,0.0,1.0,0.118670139461511,0.118670139461511,0.145328719723183,0.145328719723183,0.5
common_morpheme,0.7283912301063531,0.30000000000000004,0.0,0.0,0.0,0.33333333333333304,0.26785389006931004,0.18213960435502402,0.0042857142857140006,0.09000000000000001,0.16666666666666602,0.1,0.222,45.054,4.505,10.0,0.9,0.0,0.0,0.0,0.5,0.09000000000000001,0.0,0.0,0.09000000000000001,0.5,0.1,0.1,1.0,0.18181818181818102,0.6666666666666661,0.726388227930822,0.6513882279308221,0.015000000000000001,0.09000000000000001,0.5,0.1,0.1,1.0,0.18181818181818102,0.6666666666666661,0.724928484700441,0.6499284847004411,0.015000000000000001,0.09000000000000001,0.5
conceptual_combinations,0.75892150402069,0.28571428571428503,0.27272727272727204,0.30000000000000004,0.28571428571428503,0.30000000000000004,0.281568721987359,0.045854436273073,0.013718820861677,0.24943310657596302,0.28636363636363604,0.47619047619047605,0.4116,51.023,4.859,21.0,0.5238095238095231,0.0,0.0,0.0,0.5,0.24943310657596302,0.0,0.0,0.24943310657596302,0.5,0.42857142857142805,0.44444444444444403,0.8,0.5714285714285711,0.581818181818181,0.33139397548389504,0.12050962174239802,0.038548752834467,0.24943310657596302,0.44545454545454505,0.47619047619047605,0.47058823529411703,0.8,0.592592592592592,0.5727272727272721,0.323744220118646,0.10945850583293101,0.035147392290249005,0.24943310657596302,0.49090909090909
crash_blossom,0.7242633700370781,0.5,0.5,1.0,0.6666666666666661,0.625,0.264747176171071,0.08766384283773801,0.072916666666666,0.25,0.5,0.5,0.1893,42.262,5.283,8.0,0.5,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.25,0.5,0.625,0.5714285714285711,1.0,0.7272727272727271,0.375,0.317330804434156,0.103045090148441,0.035714285714285005,0.25,0.625,0.625,0.5714285714285711,1.0,0.7272727272727271,0.375,0.30031147332538605,0.08602575903967201,0.035714285714285005,0.25,0.625
cryobiology_spanish,0.585087239742279,0.689655172413793,0.72,0.9,0.799999999999999,0.7222222222222221,0.19830429519811302,0.041066896581404,0.056793516959985,0.21403091557669401,0.561111111111111,0.689655172413793,0.5299,54.725,3.774,29.0,0.689655172413793,0.689655172413793,1.0,0.816326530612244,0.5,0.21403091557669401,0.0,0.0,0.21403091557669401,0.5,0.689655172413793,0.689655172413793,1.0,0.816326530612244,0.5,0.27203388859000605,0.07827362586422601,0.020270652850914003,0.21403091557669401,0.5,0.689655172413793,0.72,0.9,0.799999999999999,0.42222222222222205,0.26817746769133805,0.06879638899991501,0.01464983688527,0.21403091557669401,0.561111111111111
cs_algorithms,0.614667415618896,0.632530120481927,0.514285714285714,0.8437500000000001,0.6390532544378691,0.652879901960784,0.21461576168631002,0.013695336514038,0.035978979676036006,0.23689940484830802,0.671875,0.38554216867469804,2.8202,58.862,3.9,166.0,0.6144578313253011,0.0,0.0,0.0,0.5,0.23689940484830802,0.0,0.0,0.23689940484830802,0.5,0.6445783132530121,0.5229357798165131,0.890625,0.658959537572254,0.7838541666666661,0.209772478563712,0.04512941522524801,0.072256341509844,0.23689940484830802,0.6904105392156861,0.662650602409638,0.537735849056603,0.890625,0.670588235294117,0.7829350490196071,0.207081984741907,0.042518546542450006,0.072335966648851,0.23689940484830802,0.7051164215686271
dark_humor_detection,0.725010335445404,0.5,0.5,1.0,0.6666666666666661,0.46875000000000006,0.26539542469958,0.036228758032913005,0.020833333333333003,0.25,0.5,0.5,0.31220000000000003,51.254,3.203,16.0,0.5,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.25,0.5,0.5,0.5,1.0,0.6666666666666661,0.734375,0.309810390366461,0.15356039036646102,0.09375000000000001,0.25,0.5,0.5,0.5,0.875,0.636363636363636,0.7187500000000001,0.29612277598659004,0.134664442653257,0.088541666666666,0.25,0.5
date_understanding,0.5891458392143251,0.729729729729729,0.7368421052631571,0.893617021276595,0.807692307692307,0.697399527186761,0.201189741801954,0.027639041224226002,0.05818779467428001,0.23173849525200801,0.6690307328605201,0.6351351351351351,1.2852000000000001,57.58,3.891,74.0,0.6351351351351351,0.6351351351351351,1.0,0.776859504132231,0.5,0.23173849525200801,0.0,0.0,0.23173849525200801,0.5,0.7432432432432431,0.7413793103448271,0.914893617021276,0.819047619047619,0.7848699763593381,0.190775668948982,0.041390475446142,0.08235330174916801,0.23173849525200801,0.67966903073286,0.39189189189189105,1.0,0.042553191489361,0.08163265306122401,0.697399527186761,0.470144927823392,0.28094680112526504,0.042540368553882005,0.23173849525200801,0.52127659574468
disfl_qa,0.18178521096706302,0.956097560975609,0.0,0.0,0.0,0.497165532879818,0.042162693028541004,0.0005979779534730001,0.00041029979703100005,0.041975014872099,0.5,0.043902439024390005,3.5169,58.291,3.696,205.0,0.956097560975609,0.0,0.0,0.0,0.5,0.041975014872099,0.0,0.0,0.041975014872099,0.5,0.043902439024390005,0.043902439024390005,1.0,0.08411214953271001,0.5,0.956097560975609,0.9141225461035091,0.0,0.041975014872099,0.5,0.9658536585365851,0.75,0.33333333333333304,0.461538461538461,0.9954648526077091,0.018319362230265,0.011699153171031,0.035354805812866,0.041975014872099,0.6641156462585031
dyck_languages,0.409277915954589,0.8200000000000001,0.5,0.027777777777777003,0.052631578947368,0.840785907859078,0.130633510155751,0.024027661294468,0.040994151138716,0.1476,0.5108401084010841,0.18,3.3905,58.988,3.834,200.0,0.8200000000000001,0.0,0.0,0.0,0.5,0.1476,0.0,0.0,0.1476,0.5,0.585,0.2803738317757,0.833333333333333,0.41958041958041903,0.7520325203252031,0.274109404980941,0.15238323865234102,0.025873833671399,0.1476,0.681910569105691,0.78,0.21428571428571402,0.08333333333333301,0.12,0.40430216802168,0.18234515948861102,0.040135857163029004,0.0053906976744180005,0.1476,0.508130081300813
emoji_movie,0.681417346000671,0.65,0.0,0.0,0.0,0.513736263736263,0.24151829264877303,0.037031113161593,0.02301282051282,0.227499999999999,0.5,0.35000000000000003,0.7232000000000001,55.313,4.148,40.0,0.65,0.0,0.0,0.0,0.5,0.227499999999999,0.0,0.0,0.227499999999999,0.5,0.425,0.36363636363636304,0.8571428571428571,0.51063829787234,0.586538461538461,0.43447952664834105,0.22172217370716402,0.014742647058823001,0.227499999999999,0.5247252747252741,0.6000000000000001,0.45454545454545403,0.7142857142857141,0.555555555555555,0.7060439560439561,0.24081840016778402,0.077583106050137,0.064264705882352,0.227499999999999,0.626373626373626
emojis_emotion_prediction,0.5552792549133301,0.75,0.0,0.0,0.0,1.0,0.184064156032772,0.184064156032772,0.1875,0.1875,0.5,0.25,0.1265,31.622,7.905,4.0,0.75,0.0,0.0,0.0,0.5,0.1875,0.0,0.0,0.1875,0.5,0.75,0.5,1.0,0.6666666666666661,1.0,0.11672338883976902,0.11672338883976902,0.1875,0.1875,0.833333333333333,1.0,1.0,1.0,1.0,1.0,0.11005702852217301,0.11005702852217301,0.1875,0.1875,1.0
empirical_judgments,0.7022353410720821,0.55,0.55,1.0,0.7096774193548381,0.36363636363636304,0.254345366812606,0.007916795384034,0.001071428571428,0.24749999999999903,0.5,0.55,0.771,25.94,2.594,20.0,0.55,0.55,1.0,0.7096774193548381,0.5,0.24749999999999903,0.0,0.0,0.24749999999999903,0.5,0.45,0.5,0.818181818181818,0.620689655172413,0.5050505050505051,0.333102049482561,0.100135016515528,0.014532967032966,0.24749999999999903,0.409090909090909,0.4,0.47058823529411703,0.7272727272727271,0.5714285714285711,0.5050505050505051,0.316250637404967,0.09125063740496701,0.022499999999999003,0.24749999999999903,0.36363636363636304
english_proverbs,0.6556909680366511,0.8571428571428571,1.0,0.6666666666666661,0.8,0.6666666666666661,0.23129994388389202,0.117014229598178,0.130612244897959,0.24489795918367302,0.833333333333333,0.42857142857142805,0.1713,40.874,5.839,7.0,0.5714285714285711,0.0,0.0,0.0,0.5,0.24489795918367302,0.0,0.0,0.24489795918367302,0.5,0.5714285714285711,0.5,1.0,0.6666666666666661,0.6666666666666661,0.306919906928495,0.164062764071352,0.10204081632653,0.24489795918367302,0.625,0.8571428571428571,0.75,1.0,0.8571428571428571,0.833333333333333,0.217888568848243,0.12265047361014701,0.149659863945578,0.24489795918367302,0.875
entailed_polarity,0.42995116114616305,0.866666666666666,0.866666666666666,1.0,0.928571428571428,0.25,0.12118537399803402,0.008364861177521,0.0027350427350420004,0.11555555555555501,0.5,0.866666666666666,0.5409,55.466,3.698,30.0,0.866666666666666,0.866666666666666,1.0,0.928571428571428,0.5,0.11555555555555501,0.0,0.0,0.11555555555555501,0.5,0.866666666666666,0.866666666666666,1.0,0.928571428571428,0.923076923076923,0.104997938558158,0.053331271891491006,0.06388888888888801,0.11555555555555501,0.5,0.9333333333333331,0.9615384615384611,0.9615384615384611,0.9615384615384611,0.9903846153846151,0.11939448193106801,0.10272781526440201,0.09888888888888801,0.11555555555555501,0.8557692307692301
fact_checker,0.7151330709457391,0.642424242424242,0.642424242424242,1.0,0.7822878228782281,0.571474256475855,0.24911843732469902,0.035462302331355,0.016059200176535,0.22971533516988002,0.5,0.642424242424242,2.8133,58.651,3.91,165.0,0.642424242424242,0.642424242424242,1.0,0.7822878228782281,0.5,0.22971533516988002,0.0,0.0,0.22971533516988002,0.5,0.642424242424242,0.642424242424242,1.0,0.7822878228782281,0.6471058522545571,0.222575149814307,0.019705274591491,0.026845459947064002,0.22971533516988002,0.5,0.5939393939393941,0.6274509803921561,0.90566037735849,0.741312741312741,0.6543012472017901,0.21654770431164103,0.012561436021967002,0.025729066880206004,0.22971533516988002,0.469779341221618
fantasy_reasoning,0.6684666872024531,0.625,0.625,1.0,0.769230769230769,0.525333333333333,0.23721048382735402,0.026684168037880002,0.023848684210526,0.234375,0.5,0.625,0.728,54.942,4.121,40.0,0.625,0.625,1.0,0.769230769230769,0.5,0.234375,0.0,0.0,0.234375,0.5,0.625,0.625,1.0,0.769230769230769,0.7893333333333331,0.19528295798755502,0.044102402432000004,0.083194444444444,0.234375,0.5,0.725,0.769230769230769,0.8,0.7843137254901961,0.8026666666666661,0.196514120412415,0.045093665866961,0.082954545454545,0.234375,0.7000000000000001
figure_of_speech_detection,0.8207350373268121,0.5,1.0,0.14285714285714202,0.25,0.514285714285714,0.30872461977431603,0.11080795310765001,0.04513888888888801,0.24305555555555503,0.5714285714285711,0.583333333333333,0.2462,48.751,4.063,12.0,0.583333333333333,0.583333333333333,1.0,0.7368421052631571,0.5,0.24305555555555503,0.0,0.0,0.24305555555555503,0.5,0.6666666666666661,0.7142857142857141,0.7142857142857141,0.7142857142857141,0.6000000000000001,0.238365509540953,0.06058773176317501,0.065277777777777,0.24305555555555503,0.657142857142857,0.416666666666666,0.5,0.14285714285714202,0.22222222222222202,0.457142857142857,0.32426292356020503,0.098072447369729,0.016865079365079,0.24305555555555503,0.47142857142857103
general_knowledge,0.7722445726394651,0.5,0.7142857142857141,0.5,0.5882352941176471,0.45,0.28807476052713,0.116646189098558,0.032653061224489,0.204081632653061,0.5,0.7142857142857141,0.2765,50.632,3.617,14.0,0.7142857142857141,0.7142857142857141,1.0,0.833333333333333,0.5,0.204081632653061,0.0,0.0,0.204081632653061,0.5,0.7142857142857141,0.7142857142857141,1.0,0.833333333333333,0.9,0.219294675674319,0.16215181853146202,0.146938775510204,0.204081632653061,0.5,0.7142857142857141,0.7142857142857141,1.0,0.833333333333333,0.9,0.220245530991436,0.16310267384857902,0.146938775510204,0.204081632653061,0.5
goal_step_wikihow,0.6966167688369751,0.609756097560975,0.561643835616438,0.46067415730337,0.5061728395061721,0.563734986439364,0.24987645636243103,0.025971567909195,0.021758407204111003,0.24566329565734601,0.5924060441689261,0.434146341463414,3.4813,58.886,3.734,205.0,0.5658536585365851,0.0,0.0,0.0,0.5,0.24566329565734601,0.0,0.0,0.24566329565734601,0.5,0.49268292682926806,0.45810055865921706,0.921348314606741,0.611940298507462,0.6239829523440521,0.316490234045115,0.095639897813897,0.024812959426128003,0.24566329565734601,0.542570709027508,0.536585365853658,0.48192771084337305,0.8988764044943821,0.6274509803921561,0.635315769081751,0.29817337715186704,0.07738211247407001,0.024872030979549,0.24566329565734601,0.5787485470747771
gre_reading_comprehension,0.558049023151397,0.833333333333333,1.0,0.5,0.6666666666666661,1.0,0.184484439007489,0.184484439007489,0.22222222222222202,0.22222222222222202,0.75,0.33333333333333304,0.1564,38.375,6.396,6.0,0.6666666666666661,0.0,0.0,0.0,0.5,0.22222222222222202,0.0,0.0,0.22222222222222202,0.5,0.5,0.4,1.0,0.5714285714285711,0.5,0.45595821448071805,0.261513770036273,0.027777777777777003,0.22222222222222202,0.625,0.5,0.0,0.0,0.0,0.5,0.288414646172226,0.093970201727782,0.027777777777777003,0.22222222222222202,0.375
hindu_knowledge,0.6445102095603941,0.6000000000000001,0.6071428571428571,0.85,0.708333333333333,0.673333333333333,0.22706192568750802,0.035806514432097,0.053642547928262,0.24489795918367302,0.558333333333333,0.5714285714285711,0.6407,54.624,4.682,35.0,0.5714285714285711,0.5714285714285711,1.0,0.7272727272727271,0.5,0.24489795918367302,0.0,0.0,0.24489795918367302,0.5,0.5714285714285711,0.575757575757575,0.9500000000000001,0.7169811320754711,0.8366666666666661,0.282486056220604,0.156295580030127,0.11870748299319701,0.24489795918367302,0.5083333333333331,0.5714285714285711,0.5806451612903221,0.9,0.7058823529411761,0.81,0.262636270274587,0.147311594949912,0.12957328385899802,0.24489795918367302,0.516666666666666
hinglish_toxicity,0.709500014781951,0.5750000000000001,0.5750000000000001,1.0,0.73015873015873,0.552429667519181,0.255613180541725,0.02882746625601,0.017589285714285002,0.24437499999999998,0.5,0.5750000000000001,0.7244,55.219,4.141,40.0,0.5750000000000001,0.5750000000000001,1.0,0.73015873015873,0.5,0.24437499999999998,0.0,0.0,0.24437499999999998,0.5,0.5750000000000001,0.5750000000000001,1.0,0.73015873015873,0.542199488491048,0.27872268754844404,0.055556020881777,0.021208333333333003,0.24437499999999998,0.5,0.525,0.6000000000000001,0.521739130434782,0.55813953488372,0.562659846547314,0.269768002771479,0.053858911862388004,0.028465909090909004,0.24437499999999998,0.525575447570332
human_organs_senses,0.6874558925628661,0.75,0.75,1.0,0.8571428571428571,0.16666666666666602,0.22892007965673303,0.050348651085304,0.008928571428571001,0.1875,0.5,0.75,0.1935,41.354,5.169,8.0,0.75,0.75,1.0,0.8571428571428571,0.5,0.1875,0.0,0.0,0.1875,0.5,0.75,0.75,1.0,0.8571428571428571,0.9166666666666661,0.172008985335935,0.109508985335935,0.125,0.1875,0.5,0.625,0.7142857142857141,0.833333333333333,0.769230769230769,0.75,0.199637061750323,0.074637061750323,0.0625,0.1875,0.416666666666666
identify_math_theorems,0.511333525180816,0.818181818181818,0.0,0.0,0.0,0.611111111111111,0.16346680497356803,0.042254683761447004,0.027548209366391,0.148760330578512,0.5,0.18181818181818102,0.2702,40.711,3.701,11.0,0.818181818181818,0.0,0.0,0.0,0.5,0.148760330578512,0.0,0.0,0.148760330578512,0.5,0.18181818181818102,0.18181818181818102,1.0,0.30769230769230704,0.33333333333333304,0.573146885031664,0.431732743617523,0.007346189164370001,0.148760330578512,0.5,0.818181818181818,0.0,0.0,0.0,0.055555555555555004,0.20452153689334102,0.055761206314829004,0.0,0.148760330578512,0.5
implicatures,0.640976011753082,0.704081632653061,0.704081632653061,1.0,0.8263473053892211,0.49725137431284305,0.21901122254472402,0.017292640375014,0.006632105043950001,0.208350687213661,0.5,0.704081632653061,1.697,57.75,4.125,98.0,0.704081632653061,0.704081632653061,1.0,0.8263473053892211,0.5,0.208350687213661,0.0,0.0,0.208350687213661,0.5,0.704081632653061,0.704081632653061,1.0,0.8263473053892211,0.723138430784607,0.180744668233456,0.017904532179034,0.045510551159239,0.208350687213661,0.5,0.673469387755102,0.72289156626506,0.8695652173913041,0.7894736842105261,0.7111444277861071,0.18409694880462701,0.015913842228663003,0.040167580637697,0.208350687213661,0.5382308845577211
implicit_relations,0.558302283287048,0.7058823529411761,0.0,0.0,0.0,0.6538461538461531,0.187878318868462,0.04081949533905,0.032871972318339,0.17993079584775,0.461538461538461,0.23529411764705802,0.3538,48.056,5.654,17.0,0.764705882352941,0.0,0.0,0.0,0.5,0.17993079584775,0.0,0.0,0.17993079584775,0.5,0.29411764705882304,0.25,1.0,0.4,0.634615384615384,0.46621273631873206,0.32503626573049704,0.038754325259515006,0.17993079584775,0.538461538461538,0.47058823529411703,0.27272727272727204,0.75,0.399999999999999,0.519230769230769,0.31591097181475103,0.15414626593239802,0.018166089965397002,0.17993079584775,0.5673076923076921
