task,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_task_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,instance_count,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy
fact_checker,0.6882612109184261,0.536363636363636,0.559183673469387,0.7527472527472521,0.641686182669789,0.553961241461241,0.24736923581136902,0.0064138009098850006,0.006390754262887001,0.247346189164371,0.511508761508761,0.5515151515151511,10.9449,60.302,7.583,660.0,0.5712121212121211,0.581818181818181,0.7912087912087911,0.6705471478463321,0.5735075735075731,0.24304866850321402,0.0,0.004297520661157001,0.247346189164371,0.545942233442233,0.5515151515151511,0.5515151515151511,1.0,0.7109375,0.5645511583011581,0.25980242020432504,0.025568462813799,0.013112231773844001,0.247346189164371,0.5,0.519696969696969,0.5404475043029261,0.862637362637362,0.664550264550264,0.5597898722898721,0.253040822656315,0.017484844211581002,0.011790210719636,0.247346189164371,0.480305167805167
fantasy_reasoning,0.6809921860694881,0.5625,0.6341463414634141,0.565217391304347,0.5977011494252871,0.5901534526854221,0.24395877449504902,0.015005414636517,0.015421640141467002,0.244374999999999,0.5620204603580561,0.5750000000000001,2.6853,59.584,7.448,160.0,0.5750000000000001,0.5750000000000001,1.0,0.73015873015873,0.5319693094629151,0.24343750000000003,0.0,0.0009374999999990001,0.244374999999999,0.5,0.5750000000000001,0.5750000000000001,1.0,0.73015873015873,0.6553708439897691,0.23129814484834502,0.016268976282993,0.029345831434647,0.244374999999999,0.5,0.64375,0.6966292134831461,0.6739130434782601,0.685082872928176,0.6572890025575441,0.226494257000205,0.016160032401275,0.034040775401069,0.244374999999999,0.6384271099744241
figure_of_speech_detection,0.561400711536407,0.75,0.0,0.0,0.0,0.7222222222222221,0.183084090144935,0.038292423478268,0.042708333333333,0.1875,0.5,0.25,0.8211,58.457,7.307,48.0,0.7916666666666661,0.583333333333333,0.583333333333333,0.583333333333333,0.75,0.14930555555555503,0.0,0.038194444444444,0.1875,0.7222222222222221,0.5416666666666661,0.25,0.416666666666666,0.3125,0.548611111111111,0.24886096696935203,0.08236791141379701,0.021006944444444002,0.1875,0.5,0.708333333333333,0.25,0.08333333333333301,0.125,0.5393518518518511,0.19984890217876403,0.032113859443721006,0.019764957264957,0.1875,0.5
general_knowledge,0.789658844470977,0.517857142857142,1.0,0.035714285714285005,0.068965517241379,0.673469387755102,0.284224391660029,0.08146980497687101,0.047245413316841005,0.25,0.517857142857142,0.5,0.9541000000000001,58.693,7.337,56.0,0.678571428571428,0.678571428571428,0.678571428571428,0.678571428571428,0.7321428571428571,0.20153061224489802,0.0,0.048469387755101005,0.25,0.678571428571428,0.660714285714285,0.68,0.6071428571428571,0.641509433962264,0.723214285714285,0.216229616334002,0.028501570570242003,0.062271954236239005,0.25,0.660714285714285,0.660714285714285,0.764705882352941,0.464285714285714,0.5777777777777771,0.7181122448979591,0.230089344213074,0.052538323804911004,0.07244897959183601,0.25,0.660714285714285
goal_step_wikihow,0.7081004977226251,0.6085365853658531,0.5882352941176471,0.12012012012012001,0.19950124688279303,0.6041462406965481,0.249282553065015,0.022909972247216002,0.014809751127471002,0.24118233194527003,0.531312626795173,0.406097560975609,13.6809,59.937,7.529,820.0,0.59390243902439,0.0,0.0,0.0,0.523385808806753,0.24077334919690602,0.0,0.000408982748364,0.24118233194527003,0.5,0.47560975609756,0.43081312410841605,0.9069069069069061,0.5841392649903281,0.608376343489279,0.335252852966245,0.10634558951395301,0.012275068492978,0.24118233194527003,0.543802529428812,0.539024390243902,0.459016393442622,0.756756756756756,0.5714285714285711,0.607494558213244,0.293030546148904,0.06380994393983501,0.011961729736202001,0.24118233194527003,0.57345024696154
gre_reading_comprehension,0.812751591205596,0.5416666666666661,0.0,0.0,0.0,0.48951048951048903,0.297831362687482,0.079081361756159,0.029513887957566,0.248263888888888,0.5,0.45833333333333304,0.43010000000000004,55.804,6.976,24.0,0.5416666666666661,0.0,0.0,0.0,0.562937062937062,0.24305555555555503,0.0,0.005208333333333,0.248263888888888,0.5,0.45833333333333304,0.45454545454545403,0.9090909090909091,0.6060606060606061,0.43356643356643304,0.478974973977549,0.23157914064421503,0.0008680555555550001,0.248263888888888,0.493006993006993,0.5,0.0,0.0,0.0,0.37062937062937,0.44710366154594106,0.19899760093988,0.000157828282828,0.248263888888888,0.461538461538461
hindu_knowledge,0.6355463266372681,0.657142857142857,1.0,0.058823529411764004,0.11111111111111101,0.662921348314606,0.22037335789103701,0.025217538629251003,0.036425813391275,0.23158163265306103,0.529411764705882,0.36428571428571405,2.3599,59.324,7.627,140.0,0.671428571428571,0.5714285714285711,0.39215686274509803,0.46511627906976705,0.665785415289711,0.21061224489795902,0.0,0.020969387755101,0.23158163265306103,0.6118087684512,0.528571428571428,0.409638554216867,0.6666666666666661,0.5074626865671641,0.647719762062128,0.28090590416472905,0.103087267276011,0.053762995764343006,0.23158163265306103,0.5580524344569281,0.5928571428571421,0.45,0.529411764705882,0.486486486486486,0.648821326283322,0.24326986225073302,0.065641409622281,0.053953180024608006,0.23158163265306103,0.579312623925974
hinglish_toxicity,0.679820597171783,0.5875,0.59090909090909,0.866666666666666,0.7027027027027021,0.5524603174603171,0.243374053055241,0.017131106764527,0.019850803709285002,0.24609375,0.547619047619047,0.5625,2.6795999999999998,59.711,7.464,160.0,0.5625,0.5625,1.0,0.72,0.5317460317460311,0.2453125,0.0,0.00078125,0.24609375,0.5,0.5625,0.5625,1.0,0.72,0.48825396825396805,0.298889198822111,0.061241444684995004,0.008445995862884,0.24609375,0.5,0.47500000000000003,0.53125,0.5666666666666661,0.5483870967741931,0.467142857142857,0.294653991272533,0.055333613343284,0.006773372070751,0.24609375,0.46190476190476104
human_organs_senses,0.602319657802581,0.75,0.777777777777777,0.538461538461538,0.636363636363636,0.797570850202429,0.206761401906732,0.055719735240065,0.09016927083333301,0.2412109375,0.7165991902834,0.40625000000000006,0.5577,57.38,7.172,32.0,0.7187500000000001,0.75,0.461538461538461,0.5714285714285711,0.710526315789473,0.19921875,0.0,0.0419921875,0.2412109375,0.678137651821862,0.5625,0.47368421052631504,0.6923076923076921,0.5625,0.635627530364372,0.26508079770966103,0.09524384118792201,0.07137398097826,0.2412109375,0.582995951417004,0.6875,0.636363636363636,0.538461538461538,0.583333333333333,0.7408906882591091,0.197331423690138,0.039593328452042005,0.083472842261904,0.2412109375,0.6639676113360321
identify_math_theorems,0.39589950442314104,0.886363636363636,0.0,0.0,0.0,0.6717948717948711,0.114197284279515,0.025939708521939,0.012465564738291001,0.100723140495867,0.5,0.11363636363636301,0.7724000000000001,56.962,7.768,44.0,0.886363636363636,0.0,0.0,0.0,0.5846153846153841,0.099173553719008,0.0,0.001549586776859,0.100723140495867,0.5,0.11363636363636301,0.09523809523809501,0.8,0.170212765957446,0.31282051282051204,0.5938920307514071,0.49354767813432704,0.00037878787878700004,0.100723140495867,0.412820512820512,0.886363636363636,0.0,0.0,0.0,0.446153846153846,0.126501502800958,0.026176827476283002,0.00039846517119200006,0.100723140495867,0.5
