,test_loss,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,count
_total,0.48479315638542175,0.7017527675276752,0.5565388397246804,0.16905615292712067,0.2593356242840779,0.7107813647181446,0.1887090960421339,0.0,0.02475490907762215,0.21346400511975605,0.5544293044400687,0.6906826568265683,0.0,0.0,0.0,0.47905693193408694,0.2974826982827459,0.08491546312889392,0.0008967699659040429,0.21346400511975605,0.49966631073144685,0.5218634686346864,0.37582893490323455,0.8294504181600956,0.5172767067150973,0.6323998485680623,0.3056541435426868,0.10407623131739549,0.011886092894464767,0.21346400511975605,0.6069302277666468,0.7566420664206642,0.695054945054945,0.37783751493428913,0.48955108359133126,0.7900118748728233,0.16177867746647245,0.0023942715063307862,0.05407959915961438,0.21346400511975605,0.6518792486577478,468.7965,23.123,2.89,10840
abstract_narrative_understanding,0.8059847950935364,0.6634146341463415,0.0,0.0,0.0,0.5,0.22329565734681733,0.0,0.0,0.22329565734681733,0.5,0.6634146341463415,0.0,0.0,0.0,0.5763000852514919,0.3273568665772037,0.12552339010654923,0.021462180876162862,0.22329565734681733,0.5,0.45365853658536587,0.3727810650887574,0.9130434782608695,0.5294117647058824,0.7008738277919863,0.3883044803042009,0.20252210064966072,0.037513277692277164,0.22329565734681733,0.5668158567774936,0.6634146341463415,0.0,0.0,0.0,0.5148124467178176,0.2716157860423493,0.056038102742580476,0.0077179740470484925,0.22329565734681733,0.5,7.9676,25.729,3.263,205
anachronisms,0.6430409550666809,0.5434782608695652,0.0,0.0,0.0,0.5,0.24810964083175802,0.0,0.0,0.24810964083175802,0.5,0.5434782608695652,0.0,0.0,0.0,0.6171428571428571,0.4271471051389192,0.2152552831927494,0.03621781888558823,0.24810964083175802,0.5,0.45652173913043476,0.45652173913043476,1.0,0.626865671641791,0.49142857142857144,0.4107323636400896,0.19391314167212617,0.031290418863794606,0.24810964083175802,0.5,0.6086956521739131,0.8,0.19047619047619047,0.3076923076923077,0.7371428571428571,0.22586038122650234,0.04665190853976861,0.06890116814502428,0.24810964083175802,0.5752380952380952,1.7884,25.722,3.355,46
analogical_similarity,0.670656144618988,0.7230769230769231,0.0,0.0,0.0,0.5,0.20023668639053252,0.0,0.0,0.20023668639053252,0.5,0.7230769230769231,0.0,0.0,0.0,0.5768321513002365,0.2732990463362617,0.09503192883837497,0.021969568892645813,0.20023668639053252,0.5,0.47692307692307695,0.3333333333333333,0.8888888888888888,0.48484848484848486,0.6430260047281324,0.3413811596193233,0.1614534804608749,0.02030900723208412,0.20023668639053252,0.6040189125295508,0.7230769230769231,0.0,0.0,0.0,0.5,0.22293444695482248,0.022697760564289765,-1.942890293094024e-16,0.20023668639053252,0.5,2.6099,24.906,3.448,65
analytic_entailment,0.5749812722206116,0.6428571428571429,0.0,0.0,0.0,0.5,0.2295918367346938,0.0,0.0,0.2295918367346938,0.5,0.6428571428571429,0.0,0.0,0.0,0.4,0.340333005012738,0.11176157644130938,0.0010204081632651796,0.2295918367346938,0.5,0.35714285714285715,0.35714285714285715,1.0,0.5263157894736842,0.5333333333333334,0.6427097710105826,0.44543085944595673,0.032312925170067924,0.2295918367346938,0.5,0.8571428571428571,1.0,0.6,0.7499999999999999,0.7555555555555555,0.1591453876448084,0.05200252890539826,0.12244897799528366,0.2295918367346938,0.8,0.562,24.911,3.559,14
arithmetic,0.5823550224304199,0.8232323232323232,0.0,0.0,0.0,0.5,0.14552086521783492,0.0,0.0,0.14552086521783492,0.5,0.8232323232323232,0.0,0.0,0.0,0.6652059596844873,0.1500293659520194,0.018900458178617935,0.014391957444433445,0.14552086521783492,0.5,0.7777777777777778,0.3333333333333333,0.2571428571428571,0.2903225806451613,0.6646801051709027,0.17800550720609212,0.04600867924309629,0.013524037254839083,0.14552086521783492,0.5733567046450482,0.7272727272727273,0.12,0.08571428571428572,0.09999999999999999,0.4475021910604733,0.19432978623440733,0.05270975711437825,0.0039008360978058376,0.14552086521783492,0.47537248028045576,7.6101,26.018,3.285,198
authorship_verification,0.6796252727508545,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.24987086776859507,0.0,0.0,0.24987086776859507,0.5,0.48863636363636365,0.0,0.0,0.0,0.5,0.5113636363636364,0.2614927685950413,0.0,0.24987086776859507,0.5,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.48863636363636365,0.23876549586776857,0.0,0.24987086776859507,0.5,0.5340909090909091,0.5253164556962026,0.9222222222222223,0.6693548387096775,0.6620801033591731,0.24330627712349576,0.029672645130488506,0.03623723577558782,0.24987086776859507,0.5250645994832042,6.9641,25.273,3.159,176
bbq_lite_json,0.43674948811531067,0.7524752475247525,0.0,0.0,0.0,0.5,0.18625624938731497,0.0,0.0,0.18625624938731497,0.5,0.6237623762376238,0.26785714285714285,0.3,0.2830188679245283,0.5142105263157895,0.2366216466150098,0.05272090615486341,0.0023555089271685703,0.18625624938731497,0.5151315789473684,0.24257425742574257,0.24120603015075376,0.96,0.38554216867469876,0.5573684210526315,0.41093606625201395,0.23118910437287976,0.006509287508180778,0.18625624938731497,0.4832894736842105,0.7475247524752475,0.49122807017543857,0.56,0.5233644859813084,0.8223684210526316,0.14311162957768309,0.013967454638074028,0.05711207444770591,0.18625624938731497,0.6846052631578947,7.7949,25.914,3.335,202
causal_judgment,0.6756550073623657,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.5,0.24930747922437677,0.0,0.0,0.24930747922437677,0.5,0.47368421052631576,0.0,0.0,0.0,0.5277777777777778,0.28306564886162794,0.06569722780899631,0.03193905817174514,0.24930747922437677,0.5,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.6944444444444444,0.2438538436980876,0.06421243247772901,0.06966606800401817,0.24930747922437677,0.5,0.5526315789473685,0.5789473684210527,0.55,0.5641025641025641,0.5902777777777778,0.24157372967610136,0.021983086401247215,0.029716835949522624,0.24930747922437677,0.5527777777777778,1.4961,25.4,3.342,38
cause_and_effect,0.7886701822280884,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.5,0.24765868886576475,0.0,0.0,0.24765868886576475,0.5,0.41935483870967744,0.0,0.0,0.0,0.21428571428571427,0.5362551582331515,0.28859646936738675,0.0,0.24765868886576475,0.4642857142857143,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.773109243697479,0.3046221194834958,0.15799455350109115,0.10103112288336008,0.24765868886576475,0.5,0.3870967741935484,0.3333333333333333,0.11764705882352941,0.1739130434782609,0.49789915966386555,0.2855173562016976,0.07422703362105207,0.03636836628511922,0.24765868886576475,0.41596638655462187,1.1908,26.034,3.359,31
checkmate_in_one,0.06507402658462524,0.9902439024390244,0.0,0.0,0.0,0.5,0.009660916121356337,0.0,0.0,0.009660916121356337,0.5,0.9902439024390244,0.0,0.0,0.0,0.5985221674876847,0.009755036848154102,0.0010058185867407136,0.000911697859942948,0.009660916121356337,0.5,0.43902439024390244,0.017094017094017096,1.0,0.033613445378151266,0.9408866995073892,0.3775696250001089,0.36967183173646195,0.0017631228577094146,0.009660916121356337,0.7167487684729064,0.9902439024390244,0.0,0.0,0.0,0.35714285714285715,0.009729533781083571,0.00010800308301797505,3.938542329074042e-05,0.009660916121356337,0.5,8.0388,25.501,3.234,205
