,test_loss,test_conf_distribution_accuracy,test_conf_distribution_precision,test_conf_distribution_recall,test_conf_distribution_f1,test_conf_distribution_roc_auc,test_conf_distribution_bs,test_conf_distribution_bs_mcb,test_conf_distribution_bs_dsc,test_conf_distribution_bs_unc,test_conf_distribution_balanced_accuracy,test_conf_absolute_accuracy,test_conf_absolute_precision,test_conf_absolute_recall,test_conf_absolute_f1,test_conf_absolute_roc_auc,test_conf_absolute_bs,test_conf_absolute_bs_mcb,test_conf_absolute_bs_dsc,test_conf_absolute_bs_unc,test_conf_absolute_balanced_accuracy,test_conf_normalized_accuracy,test_conf_normalized_precision,test_conf_normalized_recall,test_conf_normalized_f1,test_conf_normalized_roc_auc,test_conf_normalized_bs,test_conf_normalized_bs_mcb,test_conf_normalized_bs_dsc,test_conf_normalized_bs_unc,test_conf_normalized_balanced_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_bs,test_bs_mcb,test_bs_dsc,test_bs_unc,test_balanced_accuracy,test_runtime,test_samples_per_second,test_steps_per_second,count
_total,0.5025051832199097,0.7010594196222939,0.5610310841546626,0.2172636523781562,0.31322751322751324,0.7078248157149573,0.19071214855954396,0.0,0.024607152957183076,0.21531930151672704,0.5697675491049057,0.6855826807922616,0.18181818181818182,0.0005871990604815032,0.001170617500731636,0.4686668720956842,0.2966757598706608,0.08158674074289746,0.0002302823889636929,0.21531930151672704,0.4996894915962899,0.5391985260248733,0.38779527559055116,0.8097475044039929,0.5244343030994486,0.6450809525127099,0.2956243628111666,0.09388729903012863,0.013582237735689062,0.21531930151672704,0.612619758377322,0.7454629203132197,0.61729295877417,0.4967704051673517,0.5505124450951684,0.7881006187544081,0.16665038410998448,0.0030208572994498417,0.051689774706192404,0.21531930151672704,0.6779730667265138,477.1926,22.748,2.844,10855
abstract_narrative_understanding,0.6469424366950989,0.6634146341463415,0.0,0.0,0.0,0.5,0.22329565734681733,0.0,0.0,0.22329565734681733,0.5,0.6634146341463415,0.0,0.0,0.0,0.5763000852514919,0.3273568665772037,0.12552339010654923,0.021462180876162862,0.22329565734681733,0.5,0.45365853658536587,0.3727810650887574,0.9130434782608695,0.5294117647058824,0.7008738277919863,0.3883044803042009,0.20252210064966072,0.037513277692277164,0.22329565734681733,0.5668158567774936,0.6634146341463415,0.0,0.0,0.0,0.5360187553282182,0.22650198038494115,0.010782372219699604,0.0075760491815757836,0.22329565734681733,0.5,8.1136,25.266,3.204,205
anachronisms,0.6305795907974243,0.5434782608695652,0.0,0.0,0.0,0.5,0.24810964083175802,0.0,0.0,0.24810964083175802,0.5,0.5434782608695652,0.0,0.0,0.0,0.6171428571428571,0.4271471051389192,0.2152552831927494,0.03621781888558823,0.24810964083175802,0.5,0.45652173913043476,0.45652173913043476,1.0,0.626865671641791,0.49142857142857144,0.4107323636400896,0.19391314167212617,0.031290418863794606,0.24810964083175802,0.5,0.717391304347826,0.8333333333333334,0.47619047619047616,0.6060606060606061,0.7314285714285714,0.22122244392877927,0.054967503217316804,0.08185470012029555,0.24810964083175802,0.6980952380952381,1.7772,25.883,3.376,46
analogical_similarity,0.6049444675445557,0.7230769230769231,0.0,0.0,0.0,0.5,0.20023668639053252,0.0,0.0,0.20023668639053252,0.5,0.7230769230769231,0.0,0.0,0.0,0.5768321513002365,0.2732990463362617,0.09503192883837497,0.021969568892645813,0.20023668639053252,0.5,0.47692307692307695,0.3333333333333333,0.8888888888888888,0.48484848484848486,0.6430260047281324,0.3413811596193233,0.1614534804608749,0.02030900723208412,0.20023668639053252,0.6040189125295508,0.7230769230769231,0.0,0.0,0.0,0.5,0.20547752370463676,0.0052408373141040465,-1.942890293094024e-16,0.20023668639053252,0.5,2.6079,24.924,3.451,65
analytic_entailment,0.5234297513961792,0.6428571428571429,0.0,0.0,0.0,0.5,0.2295918367346938,0.0,0.0,0.2295918367346938,0.5,0.6428571428571429,0.0,0.0,0.0,0.4,0.340333005012738,0.11176157644130938,0.0010204081632651796,0.2295918367346938,0.5,0.35714285714285715,0.35714285714285715,1.0,0.5263157894736842,0.5333333333333334,0.6427097710105826,0.44543085944595673,0.032312925170067924,0.2295918367346938,0.5,0.7857142857142857,0.6666666666666666,0.8,0.7272727272727272,0.8444444444444444,0.17016237400012876,0.10766237400012876,0.1670918367346938,0.2295918367346938,0.788888888888889,0.5742,24.381,3.483,14
arithmetic,0.671043336391449,0.8232323232323232,0.0,0.0,0.0,0.5,0.14552086521783492,0.0,0.0,0.14552086521783492,0.5,0.8232323232323232,0.0,0.0,0.0,0.6652059596844873,0.1500293659520194,0.018900458178617935,0.014391957444433445,0.14552086521783492,0.5,0.7777777777777778,0.3333333333333333,0.2571428571428571,0.2903225806451613,0.6646801051709027,0.17800550720609212,0.04600867924309629,0.013524037254839083,0.14552086521783492,0.5733567046450482,0.7626262626262627,0.2,0.11428571428571428,0.14545454545454545,0.5107800175284838,0.18361236516416388,0.0399135638958934,0.0018220639495644397,0.14552086521783492,0.5080631025416301,7.6252,25.966,3.279,198
authorship_verification,0.6860758066177368,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.24987086776859507,0.0,0.0,0.24987086776859507,0.5,0.48863636363636365,0.0,0.0,0.0,0.5,0.5113636363636364,0.2614927685950413,0.0,0.24987086776859507,0.5,0.5113636363636364,0.5113636363636364,1.0,0.6766917293233083,0.5,0.48863636363636365,0.23876549586776857,0.0,0.24987086776859507,0.5,0.5795454545454546,0.5597014925373134,0.8333333333333334,0.6696428571428571,0.6105297157622738,0.24648254147939586,0.01565293641169055,0.019041262700889766,0.24987086776859507,0.5736434108527132,6.9741,25.236,3.155,176
bbq_lite_json,0.3764471709728241,0.7524752475247525,0.0,0.0,0.0,0.5,0.18625624938731497,0.0,0.0,0.18625624938731497,0.5,0.6237623762376238,0.26785714285714285,0.3,0.2830188679245283,0.5142105263157895,0.2366216466150098,0.05272090615486341,0.0023555089271685703,0.18625624938731497,0.5151315789473684,0.24257425742574257,0.24120603015075376,0.96,0.38554216867469876,0.5573684210526315,0.41093606625201395,0.23118910437287976,0.006509287508180778,0.18625624938731497,0.4832894736842105,0.7871287128712872,0.547945205479452,0.8,0.6504065040650406,0.8446052631578946,0.1299420208602732,0.009881233268908746,0.06619546179595051,0.18625624938731497,0.7914473684210527,7.8649,25.684,3.306,202
causal_judgment,0.6690614819526672,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.5,0.24930747922437677,0.0,0.0,0.24930747922437677,0.5,0.47368421052631576,0.0,0.0,0.0,0.5277777777777778,0.28306564886162794,0.06569722780899631,0.03193905817174514,0.24930747922437677,0.5,0.5263157894736842,0.5263157894736842,1.0,0.6896551724137931,0.6944444444444444,0.2438538436980876,0.06421243247772901,0.06966606800401817,0.24930747922437677,0.5,0.6052631578947368,0.6470588235294118,0.55,0.5945945945945946,0.6513888888888889,0.23815872994298376,0.02906781991094856,0.04021656919234157,0.24930747922437677,0.6083333333333334,1.4986,25.357,3.336,38
cause_and_effect,0.7921328544616699,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.5,0.24765868886576475,0.0,0.0,0.24765868886576475,0.5,0.41935483870967744,0.0,0.0,0.0,0.21428571428571427,0.5362551582331515,0.28859646936738675,0.0,0.24765868886576475,0.4642857142857143,0.5483870967741935,0.5483870967741935,1.0,0.7083333333333333,0.773109243697479,0.3046221194834958,0.15799455350109115,0.10103112288336008,0.24765868886576475,0.5,0.22580645161290322,0.23076923076923078,0.17647058823529413,0.20000000000000004,0.1869747899159664,0.29836047520385334,0.05750026015008916,0.006798473812000577,0.24765868886576475,0.23109243697478993,1.2093,25.634,3.308,31
checkmate_in_one,0.05691113322973251,0.9902439024390244,0.0,0.0,0.0,0.5,0.009660916121356337,0.0,0.0,0.009660916121356337,0.5,0.9902439024390244,0.0,0.0,0.0,0.5985221674876847,0.009755036848154102,0.0010058185867407136,0.000911697859942948,0.009660916121356337,0.5,0.43902439024390244,0.017094017094017096,1.0,0.033613445378151266,0.9408866995073892,0.3775696250001089,0.36967183173646195,0.0017631228577094146,0.009660916121356337,0.7167487684729064,0.9902439024390244,0.0,0.0,0.0,0.1600985221674877,0.009719317492479422,6.379825687469545e-05,5.396885751610472e-06,0.009660916121356337,0.5,8.0552,25.449,3.228,205
cifar10_classification,0.3771268427371979,0.8780487804878049,0.0,0.0,0.0,0.5,0.10707911957168353,0.0,0.0,0.10707911957168353,0.5,0.8780487804878049,0.0,0.0,0.0,0.5133333333333334,0.11846064537755165,0.013945603728363662,0.00256407792249555,0.10707911957168353,0.5,0.7658536585365854,0.17142857142857143,0.24,0.19999999999999998,0.526,0.19091838388095886,0.08570959651397202,0.0018703322046966925,0.10707911957168353,0.5394444444444444,0.8780487804878049,0.0,0.0,0.0,0.49911111111111117,0.10805064937867774,0.003372739558514054,0.0024012097515198477,0.10707911957168353,0.5,8.128,25.222,3.199,205
code_line_description,0.4531191289424896,0.9166666666666666,0.0,0.0,0.0,0.5,0.07638888888888888,0.0,0.0,0.07638888888888888,0.5,0.9166666666666666,0.0,0.0,0.0,0.18181818181818177,0.08333333145534318,0.008333331455343165,0.00138888888888887,0.07638888888888888,0.5,0.25,0.1,1.0,0.18181818181818182,1.0,0.5502405831285221,0.5502405831285221,0.07638888888888888,0.07638888888888888,0.5909090909090909,0.9166666666666666,0.5,1.0,0.6666666666666666,0.9090909090909091,0.13614237537848714,0.09447570871182048,0.03472222222222222,0.07638888888888888,0.9545454545454546,0.4939,24.297,4.049,12
color,0.30713963508605957,0.9317073170731708,0.0,0.0,0.0,0.5,0.06362879238548483,0.0,0.0,0.06362879238548483,0.5,0.9121951219512195,0.0,0.0,0.0,0.38855646970830215,0.12322626816136276,0.06034935104054319,0.000751875264665261,0.06362879238548483,0.4895287958115183,0.7170731707317073,0.06,0.21428571428571427,0.09375,0.3990276738967839,0.1939356062377117,0.1307930099530781,0.0004861961008512383,0.06362879238548483,0.4841062079281975,0.9317073170731708,0.0,0.0,0.0,0.39379207180254305,0.06662610822007407,0.012871923619404535,0.00987460778481529,0.06362879238548483,0.5,7.9391,25.821,3.275,205
